МУСОРНОЕ;ИСКЛЮЧЁННЫЕ ИСКАЖЕНИЯ;РОДНОЕ;ПОПРАВКА НА СЛУЧАЙ НЕМУСОРНОГО ЗНАЧЕНИЯ
аббревиатура;;сокращение, побуквие, первобуквие, побуквенка, скороток, скороченье, посложье;
абзац;;отступ, красная строка;
абила;;способность, умение;
абилка;;способность, умение;
абитуриент;;поступающий, выпускник, поступщик;
абонент;;пользователь, подписчик, звонящий, потребитель;
абориген;;туземец, местный житель, насельник;
аборигенный;;туземный, местный;
аборт;;обезбеременивание, прерывание беременности, чревоубийство, насильное пресечение беременности;
абортивный;;прерывательный;
абревиатура;;сокращение, побуквие, первобуквие, побуквенка, скороток, скороченье, посложье;
абрикос;;желтослив;
абсент;;полынник, полынуха;
абсолютно;;безусловно, несомненно, совершенно;
абсолютный;;безусловный, несомненный, совершенный;
абсорбировать;;поглощать;
абстрагирование;;отвлечение, воображение, умозрение, возмысливание, возмышление;
абстрагироваться;;отвлекаться, отвлечься, возмышляться, возмылиться;
абстрактность;;отвлечённость, вообразительность, умозрительность, умозримость, умозорность;
абстрактный;;отвлечённый, умозрительный, воображаемый, умозримый, умозорный;
абстракция;;отвлечённое понятие, отвлечение, обобщение, отвлечёнка, возмышление;
абсурд;;нелепица, глупость, нелепость, несуразица, несусветица, дичь, бред, чепуха, вздор;
абсурдность;;нелепица, глупость, нелепость, несуразица;
абсурдный;;нелепый, глупый, несусветный;
абуз;;насилие, давление, злоупотребление;
абузер;;насильник, злоупотребитель;
абузивный;;насильственный, насильный, давленческий;
абузить;;насиловать, давить, злоупотреблять, обводить вокруг пальца;
абъюз;;насилие, давление, злоупотребление;
абъюзер;;насильник, злоупотребитель;
абъюзивный;;насильственный, насильный, давленческий;
абъюзить;;насиловать, давить, злоупотреблять, обводить вокруг пальца;
абьюз;;насилие, давление, злоупотребление;
абьюзер;;насильник, злоупотребитель;
абьюзивный;;насильственный, насильный, давленческий;
абьюзить;;насиловать, давить, злоупотреблять, обводить вокруг пальца;
ава;;воплощёнка, воплощение;
авангард;;передовая, передовой отряд;
авангардный;;передовой, продвинутый;
аванс;;1) задаток, предоплата, первая выплата, выплата, получка 2) заранее, наперёд, предварительно, предоплатно;
авантюра;;приключение, похождение, передряга;
авантюризм;;приключенство, тяга к странствиям, дерзость;
авантюрист;;1) приключенец, авосьник, везенец, передряжник, повеса 2) проходимец, плут, пройдоха, выжига, прохиндей;
аварийность;;неисправность, сбойность;
аварийный;;1) запасной, запасный 2) опасный, ветхий 3) чрезвычайный;
авария;;1) крушение, поломка 2) сбой, отказ, неполадка, нарушение, непредвиденный случай, ошибка, повреждение, поломка, неисправность;
аватар;;воплощёнка, воплощение;
аватарка;;воплощёнка, воплощение;
август;;заревень;
авиадиспетчер;;полётовод, полётонаправщик, распределитель, распорядитель;
авиакомпания;;лётопредприятие;
авиарейс;;полёт;
авиатопливо;;лётотопливо;
автобус;;людовоз;
автобусный;;людовозный;
автокатастрофа;;возокрушение, возостолкновение;
автократ;;единоначальник, самодержец;
автократический;;единовластный, самодержавный;
автократия;;единовластие, единоначалие, самовластие, самодержавие;
автомагистраль;;возобольшак, главновозоход, главновозопуть, главноход, главнопуть, большак, столбовая;
автомат;;1) робот, станок, устройство, прибор, самодей 2) скорострел, самопал;
автоматизация;;осамодеивание, осамодвижие;
автоматизированный;;осамодеенный, осамодвижный;
